Material;NOBB nummer;Material                          ;Priser 01.04.2017;Enhet;;;
144029;50378073;*KOMPLETT BESLAG 0-13GR 1,5M 46X46 SORT;4169;ST;;;
148918;51557164;*KOMPLETT BESLAG 0-13GR Ø250 46X46 SORT*;4424;ST;;;
144026;50378054;*KOMPLETT BESLAG 10-45GR 1,5M 46X46 SORT;4447;ST;;;
148925;51557172;*KOMPLETT BESLAG 10-45GR Ø250 46X46 SORT;4702;ST;;;
146592;51015924;*KOMPLETT BESLAG MØNE 46X46 SORT*;4893;ST;;;
Må opprettes;Må opprettes;*KOMPLETT BESLAG MØNE Ø250 46X46 SORT*;5148;ST;Avventer opprettelse;;
149780;51914452;*STØTTESTAG KOMPLETT BLANK Ø250*;1989;ST;;;
149781;51914463;*STØTTESTAG KOMPLETT BLANK Ø300*;2015;ST;;;
149782;51914478;*STØTTESTAG KOMPLETT BLANK Ø350*;2040;ST;;;
149879;52003700;*STØTTESTAG KOMPLETT SORT Ø250*;1989;ST;;;
149880;52003715;*STØTTESTAG KOMPLETT SORT Ø300*;2015;ST;;;
149881;52003726;*STØTTESTAG KOMPLETT SORT Ø350*;2040;ST;;;
101194;;ADAPTER TIL LYDDEMPER HANN Ø180 ICS25;650;ST;;;
101180;;ADAPTER TIL LYDDEMPER HUNN Ø180 ICS25;650;ST;;;
149827;51953663;ARMERINGSDUK;45;M;Ingen endring;;
149829;51951953;ARMERINGSHJØRNER;75;ST;Ingen endring;;
102629;21771985;ARMERINGSJERN 100CM;135;ST;;;
146794;51357112;ASKERIST CURVE MG06-331;377;ST;;;
146793;51357104;ASKERIST RADIUS 7076-023;422;ST;;;
146795;51357123;ASKESKUFF CURVE MG06-121;1222;ST;;;
146648;51066237;ASKESKUFF RADIUS MG08-191;1222;ST;;;
103687;47276615;AVDEKNING VENTILERT Ø130-Ø150 PPL;480;ST;;;
103688;47276626;AVDEKNING VENTILERT Ø180-Ø200 PPL;572;ST;;;
103686;47376121;AVDEKNING VENTILERT Ø80-Ø100 PPL;456;ST;;;
136931;27810902;AVDEKNINGSPLATE 110X160 OVAL;820;ST;;;
103674;27808898;AVDEKNINGSPLATE Ø100 PPL;493;ST;;;
103677;27808914;AVDEKNINGSPLATE Ø130 PPL;633;ST;;;
103679;27808922;AVDEKNINGSPLATE Ø150 PPL;660;ST;;;
103681;27808948;AVDEKNINGSPLATE Ø180 PPL;749;ST;;;
103682;27808955;AVDEKNINGSPLATE Ø200 PPL;872;ST;;;
103684;;AVDEKNINGSPLATE Ø250 PPL;1044;ST;;;
103685;;AVDEKNINGSPLATE Ø300 PPL;1107;ST;;;
101715;;AVSTANDSHOLDER 100/-/-/304/-/TILBEHØR;137;ST;;;
135240;25675604;AVSTANDSHOLDER 130-170MM;185;ST;;;
103407;25675620;AVSTANDSHOLDER 180-230MM;185;ST;;;
135242;44577555;AVSTANDSHOLDER 300MM 180-230MM;401;ST;;;
135283;;AVSTANDSHOLDER DM36+DM44 POSE à 18;79;ST;;;
135192;50876817;AVSTANDSHOLDER SETT à 10 ISOKERN;52;ST;;;
135243;27813237;AVSTANDSHOLDER Ø25;345;ST;;;
142604;49556992;BARBECUE SETT WOODFOOD;2933;ST;;;
149848;51952123;BEIN TIL INNSATS 40CM SATURN/URANUS;1900;ST;Ingen endring;;
149849;51952138;BEIN TIL INNSATS 50CM TELLUS/MERKUR;1900;ST;Ingen endring;;
149850;51952142;BEIN TIL INNSATS 70CM JUPITER;1900;ST;Ingen endring;;
149851;51952157;BEIN TIL INNSATS 80CM VENUS/MARS;1900;ST;Ingen endring;;
100331;25417387;BLENDELOKK CHAMOTTE Ø14;179;ST;;;
100332;25417478;BLENDELOKK CHAMOTTE Ø16;204;ST;;;
100334;25417569;BLENDELOKK CHAMOTTE Ø20;204;ST;;;
100336;25417718;BLENDELOKK CHAMOTTE Ø25;224;ST;;;
100337;;BLENDELOKK CHAMOTTE Ø30;224;ST;;;
146796;;BOLT TIL RØYKVENDERPLATE CURVE 7G06-2M1;41;ST;;;
135880;49000556;BRANNMURSPLATE 1220X1000X50MM;1350;ST;;;
148535;51527817;BRANNPLATE F/SJAKT 1000X345X50 Ø250;420;ST;Ingen endring;;
148536;51527821;BRANNPLATE F/SJAKT 1000X395X50 Ø300;450;ST;Ingen endring;;
148537;51527836;BRANNPLATE F/SJAKT 1000X445X50 Ø350;620;ST;Ingen endring;;
900007774;;BRENNKAMMER ELEMENT MED SKRÅ BAKKANTER;371;ST;;;
146661;51066415;BRENNPL VENSTRE SIDE BAK RADIUS IG08-041;356;ST;;;
146647;51066358;BRENNPLATE DØRSIDER RADIUS 100 IG08-091;356;ST;;;
146660;51066400;BRENNPLATE HØYRESIDE BAK RADIUS IG08-051;356;ST;;;
146667;51066445;BRENNPLATE KOMPLETT SETT CURVE MG10-381;2600;ST;;;
146666;51066434;BRENNPLATE KOMPLETT SETT RADIUS MG08-511;1556;ST;;;
146642;51066192;BRENNPLATE RYGG CURVE IG06-221;490;ST;;;
146662;51066313;BRENNPLATE RYGG RADIUS IG08-031;511;ST;;;
146646;51066222;BRENNPLATE SIDE CURVE IG06-241;356;ST;;;
940002675;;BROSJYRESTATIV SHOP IN SHOP PM;858;ST;;;
900007777;;BUNNPLATE MED SKRÅ BAKKANTER;544;ST;;;
900007803;;BUNNRAMME Ø16;333;ST;;;
900007590;;BUNNRAMME Ø20;601;ST;;;
900007686;41433590;BUNNSKIVE 35MM;209;ST;;;
135149;47992401;BUNNSKIVE KONDENSPOTTE 65MM Ø16 SV;209;ST;;;
136132;;BUNNSTUSS 110X155MM OVAL FLEX;953;ST;;;
136113;27811736;BUNNSTUSS Ø100 PPL;721;ST;;;
136114;27811850;BUNNSTUSS Ø130 PPL;745;ST;;;
136115;27811934;BUNNSTUSS Ø150 PPL;1128;ST;;;
136116;27812080;BUNNSTUSS Ø180 PPL;1182;ST;;;
136117;27812122;BUNNSTUSS Ø200 PPL;1202;ST;;;
136118;;BUNNSTUSS Ø250 PPL;1365;ST;;;
136938;;BUNNSTUSS Ø350 PPL;1321;ST;;;
130882;47930343;DEKKLOKK GRÅ Ø150 PM50;596;ST;;;
130884;48843457;DEKKLOKK GRÅ Ø200 PM50;785;ST;;;
130881;43934902;DEKKLOKK SORT Ø150 PM50;596;ST;;;
119428;43934883;DEKKLOKK SORT Ø150PM25;579;ST;;;
130883;48843461;DEKKLOKK SORT Ø200 PM50;785;ST;;;
114793;47522194;DEKKLOKK SORT Ø250 PM50;942;ST;;;
113203;;DEKKPLATE 0-30GR 250 BLANK;738;ST;;;
114451;;DEKKPLATE 0-30GR 350 BLANK;763;ST;;;
114803;;DEKKPLATE 0-30GR Ø350 ICS25;823;ST;;;
133434;;DEKKPLATE 0-30GR Ø500 ICS25;1433;ST;;;
112663;48843578;DEKKPLATE 0-5G BLANK Ø250;618;ST;;;
113159;45644158;DEKKPLATE 0-5G BLANK Ø300;759;ST;;;
120462;48843582;DEKKPLATE 0-5G BØRSTET Ø250;694;ST;;;
120461;48843654;DEKKPLATE 0-5G BØRSTET Ø300;848;ST;;;
111432;47930203;DEKKPLATE 0-5G GRÅ Ø200;496;ST;;;
111898;47930218;DEKKPLATE 0-5G GRÅ Ø250;496;ST;;;
112405;51016000;DEKKPLATE 0-5G GRÅ Ø300;605;ST;;;
112834;51016015;DEKKPLATE 0-5G GRÅ Ø350;717;ST;;;
111426;48843480;DEKKPLATE 0-5G HVIT Ø200;496;ST;;;
112032;;DEKKPLATE 0-5G HVIT Ø230;506;ST;;;
111904;;DEKKPLATE 0-5G HVIT Ø250;496;ST;;;
112404;51015996;DEKKPLATE 0-5G HVIT Ø300;605;ST;;;
112838;51016026;DEKKPLATE 0-5G HVIT Ø350;717;ST;;;
111428;51016257;DEKKPLATE 0-5G SORT Ø200;496;ST;;;
111891;41612615;DEKKPLATE 0-5G SORT Ø250;496;ST;;;
112406;51015981;DEKKPLATE 0-5G SORT Ø300;605;ST;;;
112839;51019216;DEKKPLATE 0-5G SORT Ø350;717;ST;;;
111435;;DEKKPLATE 0-5G UTL SORT Ø200;496;ST;;;
111457;48843476;DEKKPLATE 200/0-5/BLANK/TILBEHØR;618;ST;;;
112828;51016083;DEKKPLATE 20-35 BLANK Ø250;618;ST;;;
111549;48843495;DEKKPLATE 20-35G BLANK Ø200;618;ST;;;
111987;;DEKKPLATE 20-35G BLANK Ø250;618;ST;;;
113375;45644075;DEKKPLATE 20-35G BLANK Ø300;759;ST;;;
124071;48845175;DEKKPLATE 20-35G BØRSTET Ø250;694;ST;;;
124072;48843665;DEKKPLATE 20-35G BØRSTET Ø300;848;ST;;;
111551;47930173;DEKKPLATE 20-35G GRÅ Ø200;496;ST;;;
111995;47930184;DEKKPLATE 20-35G GRÅ Ø250;496;ST;;;
112566;51016102;DEKKPLATE 20-35G GRÅ Ø300;605;ST;;;
113029;51016121;DEKKPLATE 20-35G GRÅ Ø350;717;ST;;;
111548;48843506;DEKKPLATE 20-35G HVIT Ø200;496;ST;;;
111996;;DEKKPLATE 20-35G HVIT Ø250;496;ST;;;
112565;51016117;DEKKPLATE 20-35G HVIT Ø300;605;ST;;;
113031;51016136;DEKKPLATE 20-35G HVIT Ø350;717;ST;;;
111547;47978537;DEKKPLATE 20-35G SORT Ø200;496;ST;;;
111778;;DEKKPLATE 20-35G SORT Ø230;617;ST;;;
111994;41612631;DEKKPLATE 20-35G SORT Ø250;496;ST;;;
112567;51016098;DEKKPLATE 20-35G SORT Ø300;605;ST;;;
113030;47521895;DEKKPLATE 21-35 SORT Ø350;717;ST;;;
120470;48843597;DEKKPLATE 250/20-35/0,6/304/BØRSTET;694;ST;;;
120467;48843673;DEKKPLATE 300/20-35/0,6/304/BØRSTET;848;ST;;;
111680;48843514;DEKKPLATE 35-45G BLANK Ø200;618;ST;;;
113131;48843601;DEKKPLATE 35-45G BLANK Ø250;618;ST;;;
114246;45644113;DEKKPLATE 35-45G BLANK Ø300;759;ST;;;
112276;48843616;DEKKPLATE 35-45G BØRSTET Ø250;694;ST;;;
124074;48845186;DEKKPLATE 35-45G BØRSTET Ø250;694;ST;;;
112779;48843684;DEKKPLATE 35-45G BØRSTET Ø300;848;ST;;;
124075;48845194;DEKKPLATE 35-45G BØRSTET Ø300;848;ST;;;
111677;48843525;DEKKPLATE 35-45G GRÅ Ø200;496;ST;;;
112325;47930192;DEKKPLATE 35-45G GRÅ Ø250;496;ST;;;
112777;51016155;DEKKPLATE 35-45G GRÅ Ø300;605;ST;;;
113277;51016174;DEKKPLATE 35-45G GRÅ Ø350;717;ST;;;
111679;48843533;DEKKPLATE 35-45G HVIT Ø200;496;ST;;;
112293;48843620;DEKKPLATE 35-45G HVIT Ø250;496;ST;;;
112775;51016166;DEKKPLATE 35-45G HVIT Ø300;605;ST;;;
113273;51016185;DEKKPLATE 35-45G HVIT Ø350;717;ST;;;
111675;48843544;DEKKPLATE 35-45G SORT Ø200;496;ST;;;
112287;41612656;DEKKPLATE 35-45G SORT Ø250;496;ST;;;
112778;51016140;DEKKPLATE 35-45G SORT Ø300;605;ST;;;
113275;47521906;DEKKPLATE 35-45G SORT Ø350;717;ST;;;
112841;51016064;DEKKPLATE 5-20 GRÅ Ø350;717;ST;;;
112833;51016072;DEKKPLATE 5-20 HVIT Ø350;717;ST;;;
